Project Name,Approved Budget,Start Date,End Date,TOR,Date Of Delivery,Other Relevant Information,Required Quantity,Procuring Entity
Procurement Of Rapid Test Kits,"PHP287,839",2020-05-11,2020-08-12,../Data/Files/Pr/158916490415832559325eb8bb68265d0_SPECSRapidTests.Pdf,2020-05-18,../Data/Files/Pr/1589164904643370105eb8bb686f521_SPECSRapidTests.Pdf,214,LGU TOBIAS FORNIER
Procurement Of Meals,"PHP58,000",2020-03-13,2020-03-13,../Data/Files/Pr/158924463910653306025eb9f2df29ff8_img20200512_08383928.Jpg,2020-03-13,../Data/Files/Pr/15892446391881885265eb9f2df59e0f_img20200512_08444278.Jpg,200,LGU POLANCO
Establishment Of Quarantine Facility (Materials),"PHP525,125",2020-05-11,2020-05-26,../Data/Files/Pr/158926066716694251235eba317b89e31_SPECSfacilityMatls007.Pdf,2020-05-12,../Data/Files/Pr/158926066719147270765eba317bdf73c_SPECSfacilityMatls007.Pdf,1,LGU TOBIAS FORNIER
Establishment Of Quarantine Facility (Labor),"PHP123,604.2",2020-05-12,2020-05-26,../Data/Files/Pr/158926085410960224715eba323657fe3_SPECSfacilityLabor008.Pdf,2020-05-12,../Data/Files/Pr/158926085412329868445eba3236943af_PR_facilityLabor008.Pdf,1,LGU TOBIAS FORNIER
Procurement Of Rice,"PHP3,805,830",2020-04-27,2020-05-05,../Data/Files/Pr/15893602433508299015ebbb6733b406_PRrice.Pdf,2020-04-28,../Data/Files/Pr/15893602438994490275ebbb67359af8_bacresolution.Pdf,"1,726.00",LGU-Remedios T. Romualdez
Procurement Of Chicken,"PHP840,090",2020-04-28,2020-05-05,../Data/Files/Pr/158936024320534558085ebbb673a9cad_PRchic.Pdf,2020-04-30,../Data/Files/Pr/15893602433157692055ebbb673c6842_bacresolution.Pdf,"6,830.00",LGU-Remedios T. Romualdez
Procurement Of Grocery Supplies,"PHP118,612",2020-04-27,2020-05-05,../Data/Files/Pr/158936024414461651755ebbb6741ad94_PRgrocery.Pdf,2020-04-30,../Data/Files/Pr/15893602444627591235ebbb6743ac84_BACres.Pdf,1,LGU-Remedios T. Romualdez
Procurement Of Various Items,"PHP69,320",2020-03-16,2020-03-16,../Data/Files/Pr/158943856718349679085ebce867b7cc4_CCE05142020 Technical.Pdf,2020-03-17,../Data/Files/Pr/15894385676044004575ebce867e2f84_CCE05142020 Relevant.Pdf,67,LGU POLANCO
Food For For The Release Of Cash Grants For SAP,"PHP49,800",2020-04-21,2020-04-24,../Data/Files/Pr/15898651322220054405ec36aac03240_img356.Jpg,2020-04-25,../Data/Files/Pr/15898651325779099655ec36aac464ba_BAC Resolution.Doc,249,Municipality Of Alimodian
Furnishing And Delivering Of Powder Milk 165g X 60,"PHP84,750",2020-05-20,2020-05-21,../Data/Files/Pr/15899434888457819695ec49cc00c3d8_Powder Milk.Jpg,2020-05-21,../Data/Files/Pr/15899434881460760945ec49cc04c43c_PO POWDER MILK.Jpg,30,LGU -SANTA CRUZ LAGUNA
Furnishing And Delivering Of Powder Milk 33g X 72,"PHP14,340",2020-05-20,2020-05-21,../Data/Files/Pr/158994348820262045535ec49cc07bb77_Powder Milk.Jpg,2020-05-21,../Data/Files/Pr/1589943488374130075ec49cc0aa93f_PO POWDER MILK.Jpg,20,LGU -SANTA CRUZ LAGUNA
Procurement Of 500 Cavans Of Rice,"PHP999,500",2020-03-23,2020-03-30,../Data/Files/Pr/158995348918579743395ec4c3d1ee502_PRrice1st.Jpg,2020-03-25,../Data/Files/Pr/158995349010583746635ec4c3d22bae8_POricegoldfortune.Jpg,500,"Municipality Of Paete, Laguna"
Procurement Of Additional 1000 Cavans Of Rice,"PHP2,100,000",2020-03-27,2020-04-06,../Data/Files/Pr/158995391418753619305ec4c57a1d980_PRRice2nd.Jpg,2020-03-31,../Data/Files/Pr/1589953914752743965ec4c57a48858_POriceklick.Jpg,"1,000.00","Municipality Of Paete, Laguna"
Procurement Of 500 Cavans Of Rice,"PHP1,050,000",2020-04-07,2020-04-14,../Data/Files/Pr/158995443921436714065ec4c787c79fa_PRRice3rd.Jpg,2020-04-14,../Data/Files/Pr/158995444011593467655ec4c7880e686_poriceesperanza.Jpg,500,"Municipality Of Paete, Laguna"
Procurement Of Food Commodities (Grocery Items),"PHP400,450",2020-03-23,2020-03-30,../Data/Files/Pr/158995499114721946515ec4c9afcf407_PR1stcangoods.Jpg,2020-03-25,../Data/Files/Pr/15899549928307816455ec4c9b00c616_POcadang333.Jpg,"2,350.00","Municipality Of Paete, Laguna"
Procurement Of 1500 Cavans Of Rice,"PHP3,000,000",2020-04-29,2020-05-06,../Data/Files/Pr/15899560358656880665ec4cdc322f6e_PRrice1500.Jpg,2020-05-03,../Data/Files/Pr/158995603513192238695ec4cdc36e278_POricemarilag.Jpg,"1,500.00","Municipality Of Paete, Laguna"
20-05-383 RICE FOR RELIEF ASSISTANCE TO FAMILIES AFFECTED BY COVID,"PHP14,999,085",2020-05-08,2020-05-12,../Data/Files/Pr/15900243415578627495ec5d895b06b1_PR.Jpg,2020-05-25,../Data/Files/Pr/15900243413095636245ec5d895e6e20_RFQ.Jpg,"6,711.00",LOCAL GOVERNMENT UNIT OF ALAMADA
Purchase Of Relief Goods(Essentials) For Assistance To Affected Families,"PHP1,403,571",2020-05-21,2020-05-29,../Data/Files/Pr/159004360918210197185ec623d99a9e0_PR.Jpeg,2020-05-27,../Data/Files/Pr/15900436105018298285ec623da05210_BAC Resolution.Jpeg,"10,500.00",Municipality Of Alimodian
PURCHASE OF PPE SUPPLIES,"PHP17,000",2020-04-17,2020-04-20,../Data/Files/Pr/15900523915623071145ec6462774293_PR-PPE_SUPPLIES_2020-05-21_16.27.43_1[1].Jpg,2020-04-20,../Data/Files/Pr/15900523917912922005ec64627ba37f_PO-PPE_SUPPLIES_2020-05-21_16.30.33_1[1].Jpg,120,LGU KIBUNGAN BAC
PURCHASE OF PPE SUPPLIES,"PHP34,600",2020-04-17,2020-04-21,../Data/Files/Pr/15900523914437759775ec64627ebf67_PR-PPE2_2020-05-21_17.03.22_1[1].Jpg,2020-04-21,../Data/Files/Pr/159005239211626549175ec646281f1d7_PO-PPE2_2020-05-21_17.02.26_1[1].Jpg,55,LGU KIBUNGAN BAC
PURCHASE OF PPE SUPPLIES,"PHP48,000",2020-04-17,2020-04-21,../Data/Files/Pr/15900523922425018595ec646284f5c0_PR-PPE3_2020-05-21_17.08.20_1[1].Jpg,2020-04-21,../Data/Files/Pr/159005239221304107035ec646287e900_PO-PPE3__2020-05-21_17.10.52_1[1].Jpg,100,LGU KIBUNGAN BAC
SUPPLY AND INSTALLATION OF DISTRIBUTION TRANSFORMER,"PHP215,000",2020-05-25,2020-07-31,../Data/Files/Pr/15901108727404063765ec72a98516da_DISTRIBUTION TRANSFORMER.Docx,2020-06-18,../Data/Files/Pr/15901108728849236165ec72a986ca54_DISTRIBUTION TRANSFORMER.Docx,1,LGU TANGUB
Additional Internet Bandwidth To Support COVID-19 Response,"PHP7,332,000",2020-05-08,2020-05-13,../Data/Files/Pr/15901261932551656045ec7667189504_RFQ - Additional Internet Bandwidth -Final.Pdf,2020-05-26,../Data/Files/Pr/15901261938562650485ec76671b8aac_RFQ - Additional Internet Bandwidth -Final.Pdf,1,Department Of Health
Provision Of PPEs To Be Used While MHO Personnel Are Monitoring The PUMs And PUIs -Bayanihan Grant To Cities And Municipalities (BGCM),"PHP460,725",2020-05-23,2020-05-26,../Data/Files/Pr/15901262488553614655ec766a86cdc4_Provisin Of PPE240.Pdf,2020-05-26,../Data/Files/Pr/15901262481318739395ec766a89b7b4_Eimmars Business Permit239.Pdf,"1,465.00","LGU San Juan, Siquijor"
Purcahse Of Multi-Vitamins For PUMs And PUIs-Bayanihan Grant To Cities And Municipalities (BGCM),"PHP180,000",2020-05-23,2020-05-26,../Data/Files/Pr/15901270893420384365ec769f1acd34_PR Multivitamins241.Pdf,2020-05-26,../Data/Files/Pr/15901270898990205175ec769f1eb706_Eimmars Business Permit239.Pdf,"18,000.00","LGU San Juan, Siquijor"
Supply And Delivery Of Personal Protective Equipment (PPE's),"PHP378,660",2020-04-28,2020-05-05,../Data/Files/Pr/159013388810178596995ec784807a2d9_pR.Pdf,2020-04-30,../Data/Files/Pr/159013388814817034175ec78480a8be4_proj.Requirements.Pdf,1,LGU-Remedios T. Romualdez
Procurement Of Vitamin C,"PHP112,000",2020-04-23,2020-05-01,../Data/Files/Pr/159013388843916185ec78480c7231_p.R.Pdf,2020-04-24,../Data/Files/Pr/15901338886354614745ec78480ddc5c_proj.Requirements.Pdf,"22,400.00",LGU-Remedios T. Romualdez
CONSTRUCTION OF QUARANTINE FACILITY,"PHP1,195,891.25",2020-05-04,2020-07-30,../Data/Files/Pr/15901346052877590025ec7874d09878_img162.Pdf,2020-05-05,../Data/Files/Pr/159013460515280969135ec7874d3ec04_img165.Pdf,"1,195,891.25",LOCAL GOVERNMENT UNIT OF PARACALE
Purchase Of Multi-VItamins Of Registered PWDs-Bayanihan Grant To Cities And Municipalities,"PHP73,800",2020-05-23,2020-05-29,../Data/Files/Pr/15901348916761927485ec7886badb07_PR Purchse Of Medicines And Vitamins244.Pdf,2020-05-26,../Data/Files/Pr/15901348916087578325ec7886bde4cd_Eimmars Business Permit239.Pdf,"7,380.00","LGU San Juan, Siquijor"
Purchase Of Medicines And Vitamins-Bayanihan Grant To Cities And Municipalities(BGCM),"PHP514,200",2020-05-23,2020-05-29,../Data/Files/Pr/15901354856018268835ec78abd2320b_PR Purchse Of Medicines And Vitamins244.Pdf,2020-05-26,../Data/Files/Pr/159013548521407296755ec78abd8cb7a_Eimmars Business Permit239.Pdf,"23,019.00","LGU San Juan, Siquijor"
Purchase Of Equipments And Supplies -Bayanihan Grant To Cities And Municipalities,"PHP366,585",2020-05-27,2020-06-01,../Data/Files/Pr/159045657819032230195ecc71029a4a9_PR Purcase Of Equipments And Supplies246.Pdf,2020-05-29,../Data/Files/Pr/159045657816742731475ecc7102e02ec_Eimmars Business Permit239.Pdf,972,"LGU San Juan, Siquijor"
Provision Of Meal Allowance-Bayanihan Grant To Cities And Municipalities (BGCM),"PHP135,000",2020-05-27,2020-06-01,../Data/Files/Pr/159045784511814205035ecc75f59401e_PR Provision Of Meal Allowance247.Pdf,2020-05-28,../Data/Files/Pr/159045784514152684695ecc75f5c994c_RFQ Provision Of Meal Allowance248.Pdf,"2,700.00","LGU San Juan, Siquijor"
Provision Of Fuel(Gasoline),"PHP1,650",2020-05-27,2020-06-01,../Data/Files/Pr/159045898920903573315ecc7a6d9805f_PR Provision Of Fuel (Gasoline)249.Pdf,2020-05-28,../Data/Files/Pr/159045898915119978895ecc7a6de86a9_RFQ Provision Of Fuel (Gasoline)250.Pdf,30,"LGU San Juan, Siquijor"
"Materials For Construction Of Cubicles, Toilet & Bath & Quarters For PUI & PUM","PHP254,573.22",2020-05-06,2020-05-06,../Data/Files/Pr/159046409020172192055ecc8e5a5ea5c_PR.Pdf,2020-05-07,../Data/Files/Pr/15904640909666929605ecc8e5ac0c22_ABC.Pdf,1,"MUNICIPALITY OF SALCEDO, ILOCOS SUR"
Purchase Of Medical Supplies,"PHP377,192",2020-05-06,2020-05-06,../Data/Files/Pr/15904640909176357495ecc8e5ae9df2_PR.Pdf,2020-05-07,../Data/Files/Pr/159046409110503591665ecc8e5b18989_ABC.Pdf,1,"MUNICIPALITY OF SALCEDO, ILOCOS SUR"
"Medicines, Medical Supplies & Equipment","PHP450,954",2020-05-06,2020-05-06,../Data/Files/Pr/15904640914258510275ecc8e5b3f689_PR.Pdf,2020-05-07,../Data/Files/Pr/159046409215498152055ecc8e5c4c7f6_ABC.Pdf,1,"MUNICIPALITY OF SALCEDO, ILOCOS SUR"
PURCHASE OF GOODS,"PHP4,742,000",2020-04-27,2020-05-06,"../Data/Files/Pr/15904652851620023525ecc93056aead_spec 4,7.Pdf",2020-05-04,../Data/Files/Pr/159046528513882404655ecc9305ad81b_PR.Pdf,1,"LGU-STA.MAGDALENA,SORSOGON"
PURCHASE OF CHICKEN,"PHP671,000",2020-04-21,2020-04-30,../Data/Files/Pr/159046996917288707355ecca5516c343_specs.Pdf,2020-04-30,../Data/Files/Pr/159046996918590753675ecca551c8245_PR.Pdf,1,"LGU-STA.MAGDALENA,SORSOGON"
SUPPLY & DELIVERY OF MEDICINE & MEDICAL SUPPLIES,"PHP999,980",2020-04-21,2020-05-05,../Data/Files/Pr/159047157418702943535eccab961e1bc_Specs.Pdf,2020-05-04,../Data/Files/Pr/159047157417143185875eccab966037a_PR.Pdf,1,"LGU-STA.MAGDALENA,SORSOGON"
SUPPLY & DELIVERY OF EGGS,"PHP1,100,000",2020-04-21,2020-04-30,../Data/Files/Pr/15904734182510701495eccb2ca26cac_Specs.Pdf,2020-04-30,../Data/Files/Pr/159047341813481040485eccb2ca57a2f_PR.Pdf,1,"LGU-STA.MAGDALENA,SORSOGON"
Procurement Of Pathogen Reduction Kit For Plasma Product Compatible With Mirasol,"PHP3,000,000",2020-05-26,2020-05-28,../Data/Files/Pr/15904763226756984355eccbe22555ca_RFQ Pathogen Final.Pdf,2020-06-08,../Data/Files/Pr/159047632219679958365eccbe229a6ca_RFQ Pathogen Final.Pdf,"1,000.00",Department Of Health
Procurement Of Apheresis Kit Compatible To Existing Continuous Flow Apheresis Machine (Com. Tech),"PHP6,000,000",2020-05-26,2020-05-28,../Data/Files/Pr/159047675310246976755eccbfd1bdc55_RFQ Apheresis Kit Final.Pdf,2020-06-08,../Data/Files/Pr/159047675411285115315eccbfd2002fa_RFQ Apheresis Kit Final.Pdf,500,Department Of Health
Purchase Of Office Supplies & Other Materials (COVID-19 Related Programs Projects And Activities),"PHP75,230",2020-05-28,2020-06-01,../Data/Files/Pr/15905492798484843905ecddb1f16d09_Image (4).Jpg,2020-06-10,../Data/Files/Pr/159054927910020877235ecddb1f5861e_Image (5).Jpg,1,Municipality Of Kalibo
Purchase Of Medical Supplies (COVID-19 Related Programs Projects And Activities),"PHP115,631",2020-05-28,2020-06-01,../Data/Files/Pr/159055653211763275035ecdf7748cfa5_Image (8).Jpg,2020-06-10,../Data/Files/Pr/15905565328782463325ecdf774bbed8_Image.Jpg,1,Municipality Of Kalibo
Purchase Of Food Commodities,"PHP48,000,000",2020-04-21,2020-05-05,../Data/Files/Pr/159056800611143999265ece244697621_purchase Request.Pdf,2020-04-29,../Data/Files/Pr/159056800616980904525ece2446ce6e1_project Requirements.Pdf,"20,000.00",CIty Government Of Bayugan
Procurement Of 16 Pcs Infrared Thermometer And 4 Pcs PPE Suit,"PHP134,720",2020-03-23,2020-03-30,../Data/Files/Pr/15906290898230093195ecf12e195aef_POinfrared.Jpg,2020-03-27,../Data/Files/Pr/159062908915266158415ecf12e1d4ac7_PR1st Infrared.Jpg,20,"Municipality Of Paete, Laguna"
Purchase Of Washing Machine For The Quarantine Facilities,"PHP86,000",2020-05-29,2020-06-23,../Data/Files/Pr/15906310678464490695ecf1a9b7004d_WASHING MACHINE EMERGENCY PROCUREMENT.Doc,2020-06-05,../Data/Files/Pr/159063106717643452935ecf1a9b87acb_WASHING MACHINE EMERGENCY PROCUREMENT.Doc,2,LGU TANGUB
Purchase Of Generator Set For The Quarantine Centers,"PHP5,480,000",2020-05-08,2020-06-30,../Data/Files/Pr/159063160715332543945ecf1cb7d4169_GEN SET EMERGENCY PROCUREMENT.Doc,2020-06-18,../Data/Files/Pr/159063160817203664625ecf1cb8120cd_GEN SET EMERGENCY PROCUREMENT.Doc,3,LGU TANGUB
PROCUREMENT OF SARS-COV2 IgG AND IgM OR TOTAL ANTIBODY REAGENTS WITH MACHINE TIE-UP,"PHP5,000,000",2020-05-28,2020-06-01,../Data/Files/Pr/159063768712695802725ecf3477a3c4b_RFQ - SARS COV2 (FINAL COPY).Pdf,2020-06-18,../Data/Files/Pr/159063768716847151625ecf3477f07c6_RFQ - SARS COV2 (FINAL COPY).Pdf,"10,000.00",Department Of Health
Purchase Of 10005 Trays Of Eggs To Be Used For Relief Operation COVID-19 Pandemic From Bayanihan Grant To Cities And Municipalities,"PHP1,700,850",2020-05-11,2020-05-28,../Data/Files/Pr/1590648802313489325ecf5fe20be20_Notice Of Award- Purchase Of 10005 Trays Of Eggs.Pdf,2020-05-13,../Data/Files/Pr/159064880219083419085ecf5fe234936_Purchase Order - Purchase Of 10005 Trays Of Eggs.Pdf,"10,005.00","MUNICIPALITY OF MATAASNAKAHOY, BATANGAS"
Procurement Of Commercial Rice,"PHP402,500",2020-05-21,2020-05-21,../Data/Files/Pr/15907098739670975415ed04e71a94e6_CCE05292020 Tech.Pdf,2020-05-22,../Data/Files/Pr/159070987412091217145ed04e7209f0b_CCE05292020 RELEVANT.Pdf,350,LGU POLANCO
Purchase Of Medical Supplies,"PHP968,817",2020-05-21,2020-05-21,../Data/Files/Pr/159071141513692246315ed05477e0e1a_CCE05292020 Tech.Pdf,2020-05-22,../Data/Files/Pr/15907114168869163825ed05478286a3_relevant.Pdf,"3,993.00",LGU POLANCO
Procurement Of Electrical Materials,"PHP77,140",2020-05-21,2020-05-21,../Data/Files/Pr/159071348715364880965ed05c8f6fd53_CCE05292020 Tech.Pdf,2020-05-22,../Data/Files/Pr/15907134875859190845ed05c8fc3687_CCE05292020 Relevant.Pdf,137,LGU POLANCO
Procurement Of Office Supplies,"PHP96,300",2020-05-21,2020-05-21,../Data/Files/Pr/15907145748680358745ed060ce01f3c_tech.Pdf,2020-05-22,../Data/Files/Pr/159071457467327665ed060ce36cfa_relevant.Pdf,382,LGU POLANCO
Procurement Of Decontamination Suit,"PHP150,000",2020-05-21,2020-05-21,../Data/Files/Pr/15907161958327465865ed06723f1dca_CCE05292020 Tech.Pdf,2020-05-22,../Data/Files/Pr/15907161961398665595ed0672428281_CCE05292020 Relevant.Pdf,20,LGU POLANCO
Emergency Purchase Of Food Supplies For Continues Relief Operations Due To The COVID-19 Public Health Emergency And National State Of Calamity,"PHP10,897,290",2020-05-29,2020-05-31,../Data/Files/Pr/159071906119231575525ed07255eba98_PR_Food Supplies Bayanihan Grant.Jpeg,2020-05-31,../Data/Files/Pr/159071906219051634835ed072562b459_RFQ_Bayanihan Grant.Pdf,"5,090.00",LGU MALALAG
Procurement Of Electronic Equipment,"PHP70,800",2020-05-21,2020-05-21,../Data/Files/Pr/1590721218904966805ed07ac26fb9a_CCE05292020 Tech.Pdf,2020-05-22,../Data/Files/Pr/159072121821290177925ed07ac2a3d78_relevant.Pdf,8,LGU POLANCO
Procurement Of Electronic Equipment,"PHP136,810",2020-05-21,2020-05-21,../Data/Files/Pr/159072317411101973175ed0826695dc5_CCE05292020 Tech.Pdf,2020-05-22,../Data/Files/Pr/159072317411438709905ed08266c603c_relevant.Pdf,279,LGU POLANCO
Purchase Of PPE And Thermal Scanner,"PHP64,750",2020-04-30,2020-05-07,../Data/Files/Pr/159073333020244801555ed0aa1226ab1_PPE.Jpg,2020-05-11,../Data/Files/Pr/159073333017385913865ed0aa1289cfb_EP003.Doc,120,Municipality Of Alimodian
Procurement Of Rice,"PHP1,250,000",2020-04-30,2020-05-07,../Data/Files/Pr/159073513312858715755ed0b11ddda04_Rice.Jpg,2020-05-11,../Data/Files/Pr/159073513412777306165ed0b11e5cbba_EP002.Doc,"1,000.00",Municipality Of Alimodian
Procurement Of Rice,"PHP1,250,000",2020-04-30,2020-05-07,../Data/Files/Pr/159073562214161927115ed0b306e8462_Rice2.Jpg,2020-05-11,../Data/Files/Pr/15907356234145009705ed0b3073efd6_EP002.Doc,"1,000.00",Municipality Of Alimodian
Procurement Of Relief Goods,"PHP1,260,000",2020-04-30,2020-05-07,../Data/Files/Pr/159073714316770539565ed0b8f7ee323_Chicken.Doc,2020-05-11,../Data/Files/Pr/15907371449496478395ed0b8f83d9dc_EP002.Doc,"10,500.00",Municipality Of Alimodian
Provision Of Supplies & Equipment For COVID-19,"PHP91,671",2020-03-17,2020-03-24,../Data/Files/Pr/15909749286844689945ed459d089e14_97.Pdf,2020-03-17,../Data/Files/Pr/15909749286377064805ed459d0b01e8_97.Pdf,876,LGU Perez Quezon
"Fuel, Oil & Lubricants (Diesel & Gasoline)","PHP49,719.1",2020-03-18,2020-03-25,../Data/Files/Pr/159097574512163882695ed45d01bbee4_99.Pdf,2020-03-18,../Data/Files/Pr/15909757456651450605ed45d01f3853_99A.Pdf,"1,654.70",LGU Perez Quezon
Purchase Of Fuel & Lubricants For Disaster Operations & Disaster Vehicles,"PHP49,528.5",2020-03-18,2020-03-25,../Data/Files/Pr/159097598912057708955ed45df522ca2_102.Pdf,2020-03-18,../Data/Files/Pr/15909759894051851735ed45df561087_102.Pdf,"1,604.47",LGU Perez Quezon
"Provision Of Supplies, Equipment, Medicines & Vitamins, Misc. Expenses For COVID-19 Response","PHP10,712.8",2020-03-30,2020-04-06,../Data/Files/Pr/159097645819920076725ed45fca6a43a_103.Pdf,2020-03-30,../Data/Files/Pr/159097645814488401585ed45fca9737b_103.Pdf,467.3,LGU Perez Quezon
Provision Of Supplies To Personnel & Volunteers For Disaster Operations & DRRM Activities (Foods),"PHP44,945",2020-03-17,2020-03-24,../Data/Files/Pr/159097684718333836025ed4614f87f3d_104.Pdf,2020-03-17,../Data/Files/Pr/159097684711293413755ed4614fae5a7_104.Pdf,692.15,LGU Perez Quezon
"Provision Of Medicines, Relief Goods (Food & Non-Goods), Utilize Use Of Supplies And Equipment, Shelter And Livelihood Assistance To Affected Individuals And Families (Relief Goods)","PHP299,700",2020-03-17,2020-03-23,../Data/Files/Pr/159097735619101658585ed4634ce82fc_105.Pdf,2020-03-17,../Data/Files/Pr/159097735718048426125ed4634d22c04_105.Pdf,"1,709.00",LGU Perez Quezon
"Provision Of Medicines, Relief Goods (Food & Non-Goods), Utilize Use Of Supplies And Equipment, Shelter And Livelihood Assistance To Affected Individuals And Families (Hauling)","PHP10,000",2020-03-30,2020-04-06,../Data/Files/Pr/15909782554784018675ed466cfaf42a_106.Pdf,2020-03-30,../Data/Files/Pr/159097825619825293145ed466d00699f_106.Pdf,1,LGU Perez Quezon
"Oplan ""Sita"" , Checkpoint, Patroling (Fuel, Oil & Lubricants)","PHP9,000",2020-03-30,2020-04-06,../Data/Files/Pr/15909784125668906465ed4676c085f1_107.Pdf,2020-03-30,../Data/Files/Pr/159097841213300647145ed4676c29637_107.Pdf,180,LGU Perez Quezon
Supply & Delivery Of Medicines,"PHP499,954.5",2020-04-01,2020-04-10,../Data/Files/Pr/159098072920961010995ed47079449c6_100-20-04-108-20200401.Pdf,2020-04-01,../Data/Files/Pr/15909807296973329265ed470796edfa_100-20-04-108-20200401.Pdf,"4,307.00",LGU Perez Quezon
"Provision Of Supplies, Equipment, Medicines & Vitamins, Misc. Expenses For COVID-19 Response","PHP99,818",2020-04-03,2020-04-10,../Data/Files/Pr/159098958117079946945ed4930d9eca5_109.Pdf,2020-04-03,../Data/Files/Pr/15909895816795481875ed4930dd10ea_109.Pdf,571,LGU Perez Quezon
Provision Of Supplies To Personnel & Volunteers For Disaster Operations & DRRM Activities,"PHP25,041",2020-04-03,2020-04-10,../Data/Files/Pr/159098978218390048555ed493d6023b0_109A.Pdf,2020-04-03,../Data/Files/Pr/15909897825182442305ed493d632642_109A.Pdf,140.3,LGU Perez Quezon
Food Assistance & Other Relief Goods For Affected Household,"PHP368,600",2020-04-03,2020-04-10,../Data/Files/Pr/15909901479850499435ed49543da7a8_110.2.Pdf,2020-04-03,../Data/Files/Pr/159099014817767333695ed4954469695_110.Pdf,"1,161.00",LGU Perez Quezon
Food Assistance & Other Relief Goods For Affected Household (Rice),"PHP230,000",2020-04-03,2020-04-10,../Data/Files/Pr/159099061410409021665ed49716a6d4a_111.2.Pdf,2020-04-03,../Data/Files/Pr/159099061413598347845ed49716cee21_111.2.Pdf,100,LGU Perez Quezon
Food Assistance & Other Relief Goods For Affected Household,"PHP499,300",2020-04-08,2020-05-15,../Data/Files/Pr/159099240518752057465ed49e1592a7e_112.2.Pdf,2020-04-08,../Data/Files/Pr/159099240516847185805ed49e15cc8f9_112.2.Pdf,218,LGU Perez Quezon
Maintenance Of Patrol Vehicle,"PHP33,145",2020-04-08,2020-04-15,../Data/Files/Pr/159099269310004103575ed49f358cfaa_114.Pdf,2020-04-08,../Data/Files/Pr/159099269320560610305ed49f35ae2d7_114-New.Pdf,10,LGU Perez Quezon
"Provision Of Supplies , Equipment, Medicines & Vitamins, Misc. Expenses For COVID-19 Response","PHP14,724",2020-04-15,2020-04-22,../Data/Files/Pr/159099289410133558415ed49ffee3863_115.Pdf,2020-04-15,../Data/Files/Pr/159099289510781795205ed49fff13bd4_115.Pdf,204,LGU Perez Quezon
