Project Name,Approved Budget,Start Date,End Date,TOR,Date Of Delivery,Other Relevant Information,Required Quantity,Procuring Entity
ESTABLISHMENT OF QUARANTINE FACILITY (MATERIALS),"525,125.00",2020-05-11,2020-05-26,gppbgovph.com/data/files/pr/158926066716694251235eba317b89e31_SPECSfacilityMatls007.pdf,2020-05-12,gppbgovph.com/data/files/pr/158926066719147270765eba317bdf73c_SPECSfacilityMatls007.pdf,1,LGU TOBIAS FORNIER
ESTABLISHMENT OF QUARANTINE FACILITY (LABOR),"123,604.20",2020-05-12,2020-05-26,gppbgovph.com/data/files/pr/158926085410960224715eba323657fe3_SPECSfacilityLabor008.pdf,2020-05-12,gppbgovph.com/data/files/pr/158926085412329868445eba3236943af_PR_facilityLabor008.pdf,1,LGU TOBIAS FORNIER
PROCUREMENT OF RICE,"3,805,830.00",2020-04-27,2020-05-05,gppbgovph.com/data/files/pr/15893602433508299015ebbb6733b406_PRrice.pdf,2020-04-28,gppbgovph.com/data/files/pr/15893602438994490275ebbb67359af8_bacresolution.pdf,"1,726.00",LGU-REMEDIOS T. ROMUALDEZ
PROCUREMENT OF CHICKEN,"840,090.00",2020-04-28,2020-05-05,gppbgovph.com/data/files/pr/158936024320534558085ebbb673a9cad_PRchic.pdf,2020-04-30,gppbgovph.com/data/files/pr/15893602433157692055ebbb673c6842_bacresolution.pdf,"6,830.00",LGU-REMEDIOS T. ROMUALDEZ
PROCUREMENT OF GROCERY SUPPLIES,"118,612.00",2020-04-27,2020-05-05,gppbgovph.com/data/files/pr/158936024414461651755ebbb6741ad94_PRgrocery.pdf,2020-04-30,gppbgovph.com/data/files/pr/15893602444627591235ebbb6743ac84_BACres.pdf,1,LGU-REMEDIOS T. ROMUALDEZ
PROCUREMENT OF VARIOUS ITEMS,"69,320.00",2020-03-16,2020-03-16,gppbgovph.com/data/files/pr/158943856718349679085ebce867b7cc4_CCE05142020 Technical.pdf,2020-03-17,gppbgovph.com/data/files/pr/15894385676044004575ebce867e2f84_CCE05142020 Relevant.pdf,67,LGU POLANCO
FOOD FOR FOR THE RELEASE OF CASH GRANTS FOR SAP,"49,800.00",2020-04-21,2020-04-24,gppbgovph.com/data/files/pr/15898651322220054405ec36aac03240_img356.jpg,2020-04-25,gppbgovph.com/data/files/pr/15898651325779099655ec36aac464ba_BAC Resolution.doc,249,MUNICIPALITY OF ALIMODIAN
FURNISHING AND DELIVERING OF POWDER MILK 165G X 60,"84,750.00",2020-05-20,2020-05-21,gppbgovph.com/data/files/pr/15899434888457819695ec49cc00c3d8_Powder Milk.jpg,2020-05-21,gppbgovph.com/data/files/pr/15899434881460760945ec49cc04c43c_PO POWDER MILK.jpg,30,LGU -SANTA CRUZ LAGUNA
FURNISHING AND DELIVERING OF POWDER MILK 33G X 72,"14,340.00",2020-05-20,2020-05-21,gppbgovph.com/data/files/pr/158994348820262045535ec49cc07bb77_Powder Milk.jpg,2020-05-21,gppbgovph.com/data/files/pr/1589943488374130075ec49cc0aa93f_PO POWDER MILK.jpg,20,LGU -SANTA CRUZ LAGUNA
PROCUREMENT OF 500 CAVANS OF RICE,"999,500.00",2020-03-23,2020-03-30,gppbgovph.com/data/files/pr/158995348918579743395ec4c3d1ee502_PRrice1st.jpg,2020-03-25,gppbgovph.com/data/files/pr/158995349010583746635ec4c3d22bae8_POricegoldfortune.jpg,500,"MUNICIPALITY OF PAETE, LAGUNA"
PROCUREMENT OF ADDITIONAL 1000 CAVANS OF RICE,"2,100,000.00",2020-03-27,2020-04-06,gppbgovph.com/data/files/pr/158995391418753619305ec4c57a1d980_PRRice2nd.jpg,2020-03-31,gppbgovph.com/data/files/pr/1589953914752743965ec4c57a48858_POriceklick.jpg,"1,000.00","MUNICIPALITY OF PAETE, LAGUNA"
PROCUREMENT OF 500 CAVANS OF RICE,"1,050,000.00",2020-04-07,2020-04-14,gppbgovph.com/data/files/pr/158995443921436714065ec4c787c79fa_PRRice3rd.jpg,2020-04-14,gppbgovph.com/data/files/pr/158995444011593467655ec4c7880e686_poriceesperanza.jpg,500,"MUNICIPALITY OF PAETE, LAGUNA"
PROCUREMENT OF FOOD COMMODITIES (GROCERY ITEMS),"400,450.00",2020-03-23,2020-03-30,gppbgovph.com/data/files/pr/158995499114721946515ec4c9afcf407_PR1stcangoods.jpg,2020-03-25,gppbgovph.com/data/files/pr/15899549928307816455ec4c9b00c616_POcadang333.jpg,"2,350.00","MUNICIPALITY OF PAETE, LAGUNA"
PROCUREMENT OF 1500 CAVANS OF RICE,"3,000,000.00",2020-04-29,2020-05-06,gppbgovph.com/data/files/pr/15899560358656880665ec4cdc322f6e_PRrice1500.jpg,2020-05-03,gppbgovph.com/data/files/pr/158995603513192238695ec4cdc36e278_POricemarilag.jpg,"1,500.00","MUNICIPALITY OF PAETE, LAGUNA"
20-05-383 RICE FOR RELIEF ASSISTANCE TO FAMILIES AFFECTED BY COVID,"14,999,085.00",2020-05-08,2020-05-12,gppbgovph.com/data/files/pr/15900243415578627495ec5d895b06b1_PR.jpg,2020-05-25,gppbgovph.com/data/files/pr/15900243413095636245ec5d895e6e20_RFQ.jpg,"6,711.00",LOCAL GOVERNMENT UNIT OF ALAMADA
PURCHASE OF RELIEF GOODS(ESSENTIALS) FOR ASSISTANCE TO AFFECTED FAMILIES,"1,403,571.00",2020-05-21,2020-05-29,gppbgovph.com/data/files/pr/159004360918210197185ec623d99a9e0_PR.jpeg,2020-05-27,gppbgovph.com/data/files/pr/15900436105018298285ec623da05210_BAC Resolution.jpeg,"10,500.00",MUNICIPALITY OF ALIMODIAN
PURCHASE OF PPE SUPPLIES,"17,000.00",2020-04-17,2020-04-20,gppbgovph.com/data/files/pr/15900523915623071145ec6462774293_PR-PPE_SUPPLIES_2020-05-21_16.27.43_1[1].jpg,2020-04-20,gppbgovph.com/data/files/pr/15900523917912922005ec64627ba37f_PO-PPE_SUPPLIES_2020-05-21_16.30.33_1[1].jpg,120,LGU KIBUNGAN BAC
PURCHASE OF PPE SUPPLIES,"34,600.00",2020-04-17,2020-04-21,gppbgovph.com/data/files/pr/15900523914437759775ec64627ebf67_PR-PPE2_2020-05-21_17.03.22_1[1].jpg,2020-04-21,gppbgovph.com/data/files/pr/159005239211626549175ec646281f1d7_PO-PPE2_2020-05-21_17.02.26_1[1].jpg,55,LGU KIBUNGAN BAC
PURCHASE OF PPE SUPPLIES,"48,000.00",2020-04-17,2020-04-21,gppbgovph.com/data/files/pr/15900523922425018595ec646284f5c0_PR-PPE3_2020-05-21_17.08.20_1[1].jpg,2020-04-21,gppbgovph.com/data/files/pr/159005239221304107035ec646287e900_PO-PPE3__2020-05-21_17.10.52_1[1].jpg,100,LGU KIBUNGAN BAC
SUPPLY AND INSTALLATION OF DISTRIBUTION TRANSFORMER,"215,000.00",2020-05-25,2020-07-31,gppbgovph.com/data/files/pr/15901108727404063765ec72a98516da_DISTRIBUTION TRANSFORMER.docx,2020-06-18,gppbgovph.com/data/files/pr/15901108728849236165ec72a986ca54_DISTRIBUTION TRANSFORMER.docx,1,LGU TANGUB
ADDITIONAL INTERNET BANDWIDTH TO SUPPORT COVID-19 RESPONSE,"7,332,000.00",2020-05-08,2020-05-13,gppbgovph.com/data/files/pr/15901261932551656045ec7667189504_RFQ - Additional Internet Bandwidth -Final.pdf,2020-05-26,gppbgovph.com/data/files/pr/15901261938562650485ec76671b8aac_RFQ - Additional Internet Bandwidth -Final.pdf,1,DEPARTMENT OF HEALTH
PROVISION OF PPES TO BE USED WHILE MHO PERSONNEL ARE MONITORING THE PUMS AND PUIS -BAYANIHAN GRANT TO CITIES AND MUNICIPALITIES (BGCM),"460,725.00",2020-05-23,2020-05-26,gppbgovph.com/data/files/pr/15901262488553614655ec766a86cdc4_Provisin Of PPE240.pdf,2020-05-26,gppbgovph.com/data/files/pr/15901262481318739395ec766a89b7b4_Eimmars Business Permit239.pdf,"1,465.00","LGU SAN JUAN, SIQUIJOR"
PURCAHSE OF MULTI-VITAMINS FOR PUMS AND PUIS-BAYANIHAN GRANT TO CITIES AND MUNICIPALITIES (BGCM),"180,000.00",2020-05-23,2020-05-26,gppbgovph.com/data/files/pr/15901270893420384365ec769f1acd34_PR Multivitamins241.pdf,2020-05-26,gppbgovph.com/data/files/pr/15901270898990205175ec769f1eb706_Eimmars Business Permit239.pdf,"18,000.00","LGU SAN JUAN, SIQUIJOR"
SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (PPE'S),"378,660.00",2020-04-28,2020-05-05,gppbgovph.com/data/files/pr/159013388810178596995ec784807a2d9_pR.pdf,2020-04-30,gppbgovph.com/data/files/pr/159013388814817034175ec78480a8be4_proj.Requirements.pdf,1,LGU-REMEDIOS T. ROMUALDEZ
PROCUREMENT OF VITAMIN C,"112,000.00",2020-04-23,2020-05-01,gppbgovph.com/data/files/pr/159013388843916185ec78480c7231_p.R.pdf,2020-04-24,gppbgovph.com/data/files/pr/15901338886354614745ec78480ddc5c_proj.Requirements.pdf,"22,400.00",LGU-REMEDIOS T. ROMUALDEZ
CONSTRUCTION OF QUARANTINE FACILITY,"1,195,891.25",2020-05-04,2020-07-30,gppbgovph.com/data/files/pr/15901346052877590025ec7874d09878_img162.pdf,2020-05-05,gppbgovph.com/data/files/pr/159013460515280969135ec7874d3ec04_img165.pdf,"1,195,891.25",LOCAL GOVERNMENT UNIT OF PARACALE
PURCHASE OF MULTI-VITAMINS OF REGISTERED PWDS-BAYANIHAN GRANT TO CITIES AND MUNICIPALITIES,"73,800.00",2020-05-23,2020-05-29,gppbgovph.com/data/files/pr/15901348916761927485ec7886badb07_PR Purchse Of Medicines And Vitamins244.pdf,2020-05-26,gppbgovph.com/data/files/pr/15901348916087578325ec7886bde4cd_Eimmars Business Permit239.pdf,"7,380.00","LGU SAN JUAN, SIQUIJOR"
PURCHASE OF MEDICINES AND VITAMINS-BAYANIHAN GRANT TO CITIES AND MUNICIPALITIES(BGCM),"514,200.00",2020-05-23,2020-05-29,gppbgovph.com/data/files/pr/15901354856018268835ec78abd2320b_PR Purchse Of Medicines And Vitamins244.pdf,2020-05-26,gppbgovph.com/data/files/pr/159013548521407296755ec78abd8cb7a_Eimmars Business Permit239.pdf,"23,019.00","LGU SAN JUAN, SIQUIJOR"
PURCHASE OF EQUIPMENTS AND SUPPLIES -BAYANIHAN GRANT TO CITIES AND MUNICIPALITIES,"366,585.00",2020-05-27,2020-06-01,gppbgovph.com/data/files/pr/159045657819032230195ecc71029a4a9_PR Purcase Of Equipments And Supplies246.pdf,2020-05-29,gppbgovph.com/data/files/pr/159045657816742731475ecc7102e02ec_Eimmars Business Permit239.pdf,972,"LGU SAN JUAN, SIQUIJOR"
PROVISION OF MEAL ALLOWANCE-BAYANIHAN GRANT TO CITIES AND MUNICIPALITIES (BGCM),"135,000.00",2020-05-27,2020-06-01,gppbgovph.com/data/files/pr/159045784511814205035ecc75f59401e_PR Provision Of Meal Allowance247.pdf,2020-05-28,gppbgovph.com/data/files/pr/159045784514152684695ecc75f5c994c_RFQ Provision Of Meal Allowance248.pdf,"2,700.00","LGU SAN JUAN, SIQUIJOR"
PROVISION OF FUEL(GASOLINE),"1,650.00",2020-05-27,2020-06-01,gppbgovph.com/data/files/pr/159045898920903573315ecc7a6d9805f_PR Provision Of Fuel (Gasoline)249.pdf,2020-05-28,gppbgovph.com/data/files/pr/159045898915119978895ecc7a6de86a9_RFQ Provision Of Fuel (Gasoline)250.pdf,30,"LGU SAN JUAN, SIQUIJOR"
"MATERIALS FOR CONSTRUCTION OF CUBICLES, TOILET & BATH & QUARTERS FOR PUI & PUM","254,573.22",2020-05-06,2020-05-06,gppbgovph.com/data/files/pr/159046409020172192055ecc8e5a5ea5c_PR.pdf,2020-05-07,gppbgovph.com/data/files/pr/15904640909666929605ecc8e5ac0c22_ABC.pdf,1,"MUNICIPALITY OF SALCEDO, ILOCOS SUR"
PURCHASE OF MEDICAL SUPPLIES,"377,192.00",2020-05-06,2020-05-06,gppbgovph.com/data/files/pr/15904640909176357495ecc8e5ae9df2_PR.pdf,2020-05-07,gppbgovph.com/data/files/pr/159046409110503591665ecc8e5b18989_ABC.pdf,1,"MUNICIPALITY OF SALCEDO, ILOCOS SUR"
"MEDICINES, MEDICAL SUPPLIES & EQUIPMENT","450,954.00",2020-05-06,2020-05-06,gppbgovph.com/data/files/pr/15904640914258510275ecc8e5b3f689_PR.pdf,2020-05-07,gppbgovph.com/data/files/pr/159046409215498152055ecc8e5c4c7f6_ABC.pdf,1,"MUNICIPALITY OF SALCEDO, ILOCOS SUR"
PURCHASE OF GOODS,"4,742,000.00",2020-04-27,2020-05-06,"gppbgovph.com/data/files/pr/15904652851620023525ecc93056aead_spec 4,7.pdf",2020-05-04,gppbgovph.com/data/files/pr/159046528513882404655ecc9305ad81b_PR.pdf,1,"LGU-STA.MAGDALENA,SORSOGON"
PURCHASE OF CHICKEN,"671,000.00",2020-04-21,2020-04-30,gppbgovph.com/data/files/pr/159046996917288707355ecca5516c343_specs.pdf,2020-04-30,gppbgovph.com/data/files/pr/159046996918590753675ecca551c8245_PR.pdf,1,"LGU-STA.MAGDALENA,SORSOGON"
SUPPLY & DELIVERY OF MEDICINE & MEDICAL SUPPLIES,"999,980.00",2020-04-21,2020-05-05,gppbgovph.com/data/files/pr/159047157418702943535eccab961e1bc_Specs.pdf,2020-05-04,gppbgovph.com/data/files/pr/159047157417143185875eccab966037a_PR.pdf,1,"LGU-STA.MAGDALENA,SORSOGON"
SUPPLY & DELIVERY OF EGGS,"1,100,000.00",2020-04-21,2020-04-30,gppbgovph.com/data/files/pr/15904734182510701495eccb2ca26cac_Specs.pdf,2020-04-30,gppbgovph.com/data/files/pr/159047341813481040485eccb2ca57a2f_PR.pdf,1,"LGU-STA.MAGDALENA,SORSOGON"
PROCUREMENT OF PATHOGEN REDUCTION KIT FOR PLASMA PRODUCT COMPATIBLE WITH MIRASOL,"3,000,000.00",2020-05-26,2020-05-28,gppbgovph.com/data/files/pr/15904763226756984355eccbe22555ca_RFQ Pathogen Final.pdf,2020-06-08,gppbgovph.com/data/files/pr/159047632219679958365eccbe229a6ca_RFQ Pathogen Final.pdf,"1,000.00",DEPARTMENT OF HEALTH
PROCUREMENT OF APHERESIS KIT COMPATIBLE TO EXISTING CONTINUOUS FLOW APHERESIS MACHINE (COM. TECH),"6,000,000.00",2020-05-26,2020-05-28,gppbgovph.com/data/files/pr/159047675310246976755eccbfd1bdc55_RFQ Apheresis Kit Final.pdf,2020-06-08,gppbgovph.com/data/files/pr/159047675411285115315eccbfd2002fa_RFQ Apheresis Kit Final.pdf,500,DEPARTMENT OF HEALTH
PURCHASE OF OFFICE SUPPLIES & OTHER MATERIALS (COVID-19 RELATED PROGRAMS PROJECTS AND ACTIVITIES),"75,230.00",2020-05-28,2020-06-01,gppbgovph.com/data/files/pr/15905492798484843905ecddb1f16d09_Image (4).jpg,2020-06-10,gppbgovph.com/data/files/pr/159054927910020877235ecddb1f5861e_Image (5).jpg,1,MUNICIPALITY OF KALIBO
PURCHASE OF MEDICAL SUPPLIES (COVID-19 RELATED PROGRAMS PROJECTS AND ACTIVITIES),"115,631.00",2020-05-28,2020-06-01,gppbgovph.com/data/files/pr/159055653211763275035ecdf7748cfa5_Image (8).jpg,2020-06-10,gppbgovph.com/data/files/pr/15905565328782463325ecdf774bbed8_Image.jpg,1,MUNICIPALITY OF KALIBO
PURCHASE OF FOOD COMMODITIES,"48,000,000.00",2020-04-21,2020-05-05,gppbgovph.com/data/files/pr/159056800611143999265ece244697621_purchase Request.pdf,2020-04-29,gppbgovph.com/data/files/pr/159056800616980904525ece2446ce6e1_project Requirements.pdf,"20,000.00",CITY GOVERNMENT OF BAYUGAN
PROCUREMENT OF 16 PCS INFRARED THERMOMETER AND 4 PCS PPE SUIT,"134,720.00",2020-03-23,2020-03-30,gppbgovph.com/data/files/pr/15906290898230093195ecf12e195aef_POinfrared.jpg,2020-03-27,gppbgovph.com/data/files/pr/159062908915266158415ecf12e1d4ac7_PR1st Infrared.jpg,20,"MUNICIPALITY OF PAETE, LAGUNA"
PURCHASE OF WASHING MACHINE FOR THE QUARANTINE FACILITIES,"86,000.00",2020-05-29,2020-06-23,gppbgovph.com/data/files/pr/15906310678464490695ecf1a9b7004d_WASHING MACHINE EMERGENCY PROCUREMENT.doc,2020-06-05,gppbgovph.com/data/files/pr/159063106717643452935ecf1a9b87acb_WASHING MACHINE EMERGENCY PROCUREMENT.doc,2,LGU TANGUB
PURCHASE OF GENERATOR SET FOR THE QUARANTINE CENTERS,"5,480,000.00",2020-05-08,2020-06-30,gppbgovph.com/data/files/pr/159063160715332543945ecf1cb7d4169_GEN SET EMERGENCY PROCUREMENT.doc,2020-06-18,gppbgovph.com/data/files/pr/159063160817203664625ecf1cb8120cd_GEN SET EMERGENCY PROCUREMENT.doc,3,LGU TANGUB
PROCUREMENT OF SARS-COV2 IGG AND IGM OR TOTAL ANTIBODY REAGENTS WITH MACHINE TIE-UP,"5,000,000.00",2020-05-28,2020-06-01,gppbgovph.com/data/files/pr/159063768712695802725ecf3477a3c4b_RFQ - SARS COV2 (FINAL COPY).pdf,2020-06-18,gppbgovph.com/data/files/pr/159063768716847151625ecf3477f07c6_RFQ - SARS COV2 (FINAL COPY).pdf,"10,000.00",DEPARTMENT OF HEALTH
PURCHASE OF 10005 TRAYS OF EGGS TO BE USED FOR RELIEF OPERATION COVID-19 PANDEMIC FROM BAYANIHAN GRANT TO CITIES AND MUNICIPALITIES,"1,700,850.00",2020-05-11,2020-05-28,gppbgovph.com/data/files/pr/1590648802313489325ecf5fe20be20_Notice Of Award- Purchase Of 10005 Trays Of Eggs.pdf,2020-05-13,gppbgovph.com/data/files/pr/159064880219083419085ecf5fe234936_Purchase Order - Purchase Of 10005 Trays Of Eggs.pdf,"10,005.00","MUNICIPALITY OF MATAASNAKAHOY, BATANGAS"
PROCUREMENT OF COMMERCIAL RICE,"402,500.00",2020-05-21,2020-05-21,gppbgovph.com/data/files/pr/15907098739670975415ed04e71a94e6_CCE05292020 Tech.pdf,2020-05-22,gppbgovph.com/data/files/pr/159070987412091217145ed04e7209f0b_CCE05292020 RELEVANT.pdf,350,LGU POLANCO
PURCHASE OF MEDICAL SUPPLIES,"968,817.00",2020-05-21,2020-05-21,gppbgovph.com/data/files/pr/159071141513692246315ed05477e0e1a_CCE05292020 Tech.pdf,2020-05-22,gppbgovph.com/data/files/pr/15907114168869163825ed05478286a3_relevant.pdf,"3,993.00",LGU POLANCO
PROCUREMENT OF ELECTRICAL MATERIALS,"77,140.00",2020-05-21,2020-05-21,gppbgovph.com/data/files/pr/159071348715364880965ed05c8f6fd53_CCE05292020 Tech.pdf,2020-05-22,gppbgovph.com/data/files/pr/15907134875859190845ed05c8fc3687_CCE05292020 Relevant.pdf,137,LGU POLANCO
PROCUREMENT OF OFFICE SUPPLIES,"96,300.00",2020-05-21,2020-05-21,gppbgovph.com/data/files/pr/15907145748680358745ed060ce01f3c_tech.pdf,2020-05-22,gppbgovph.com/data/files/pr/159071457467327665ed060ce36cfa_relevant.pdf,382,LGU POLANCO
PROCUREMENT OF DECONTAMINATION SUIT,"150,000.00",2020-05-21,2020-05-21,gppbgovph.com/data/files/pr/15907161958327465865ed06723f1dca_CCE05292020 Tech.pdf,2020-05-22,gppbgovph.com/data/files/pr/15907161961398665595ed0672428281_CCE05292020 Relevant.pdf,20,LGU POLANCO
EMERGENCY PURCHASE OF FOOD SUPPLIES FOR CONTINUES RELIEF OPERATIONS DUE TO THE COVID-19 PUBLIC HEALTH EMERGENCY AND NATIONAL STATE OF CALAMITY,"10,897,290.00",2020-05-29,2020-05-31,gppbgovph.com/data/files/pr/159071906119231575525ed07255eba98_PR_Food Supplies Bayanihan Grant.jpeg,2020-05-31,gppbgovph.com/data/files/pr/159071906219051634835ed072562b459_RFQ_Bayanihan Grant.pdf,"5,090.00",LGU MALALAG
PROCUREMENT OF ELECTRONIC EQUIPMENT,"70,800.00",2020-05-21,2020-05-21,gppbgovph.com/data/files/pr/1590721218904966805ed07ac26fb9a_CCE05292020 Tech.pdf,2020-05-22,gppbgovph.com/data/files/pr/159072121821290177925ed07ac2a3d78_relevant.pdf,8,LGU POLANCO
PROCUREMENT OF ELECTRONIC EQUIPMENT,"136,810.00",2020-05-21,2020-05-21,gppbgovph.com/data/files/pr/159072317411101973175ed0826695dc5_CCE05292020 Tech.pdf,2020-05-22,gppbgovph.com/data/files/pr/159072317411438709905ed08266c603c_relevant.pdf,279,LGU POLANCO
PURCHASE OF PPE AND THERMAL SCANNER,"64,750.00",2020-04-30,2020-05-07,gppbgovph.com/data/files/pr/159073333020244801555ed0aa1226ab1_PPE.jpg,2020-05-11,gppbgovph.com/data/files/pr/159073333017385913865ed0aa1289cfb_EP003.doc,120,MUNICIPALITY OF ALIMODIAN
PROCUREMENT OF RICE,"1,250,000.00",2020-04-30,2020-05-07,gppbgovph.com/data/files/pr/159073513312858715755ed0b11ddda04_Rice.jpg,2020-05-11,gppbgovph.com/data/files/pr/159073513412777306165ed0b11e5cbba_EP002.doc,"1,000.00",MUNICIPALITY OF ALIMODIAN
PROCUREMENT OF RICE,"1,250,000.00",2020-04-30,2020-05-07,gppbgovph.com/data/files/pr/159073562214161927115ed0b306e8462_Rice2.jpg,2020-05-11,gppbgovph.com/data/files/pr/15907356234145009705ed0b3073efd6_EP002.doc,"1,000.00",MUNICIPALITY OF ALIMODIAN
PROCUREMENT OF RELIEF GOODS,"1,260,000.00",2020-04-30,2020-05-07,gppbgovph.com/data/files/pr/159073714316770539565ed0b8f7ee323_Chicken.doc,2020-05-11,gppbgovph.com/data/files/pr/15907371449496478395ed0b8f83d9dc_EP002.doc,"10,500.00",MUNICIPALITY OF ALIMODIAN
PROVISION OF SUPPLIES & EQUIPMENT FOR COVID-19,"91,671.00",2020-03-17,2020-03-24,gppbgovph.com/data/files/pr/15909749286844689945ed459d089e14_97.pdf,2020-03-17,gppbgovph.com/data/files/pr/15909749286377064805ed459d0b01e8_97.pdf,876,LGU PEREZ QUEZON
"FUEL, OIL & LUBRICANTS (DIESEL & GASOLINE)","49,719.10",2020-03-18,2020-03-25,gppbgovph.com/data/files/pr/159097574512163882695ed45d01bbee4_99.pdf,2020-03-18,gppbgovph.com/data/files/pr/15909757456651450605ed45d01f3853_99A.pdf,"1,654.70",LGU PEREZ QUEZON
PURCHASE OF FUEL & LUBRICANTS FOR DISASTER OPERATIONS & DISASTER VEHICLES,"49,528.50",2020-03-18,2020-03-25,gppbgovph.com/data/files/pr/159097598912057708955ed45df522ca2_102.pdf,2020-03-18,gppbgovph.com/data/files/pr/15909759894051851735ed45df561087_102.pdf,"1,604.47",LGU PEREZ QUEZON
"PROVISION OF SUPPLIES, EQUIPMENT, MEDICINES & VITAMINS, MISC. EXPENSES FOR COVID-19 RESPONSE","10,712.80",2020-03-30,2020-04-06,gppbgovph.com/data/files/pr/159097645819920076725ed45fca6a43a_103.pdf,2020-03-30,gppbgovph.com/data/files/pr/159097645814488401585ed45fca9737b_103.pdf,467.3,LGU PEREZ QUEZON
PROVISION OF SUPPLIES TO PERSONNEL & VOLUNTEERS FOR DISASTER OPERATIONS & DRRM ACTIVITIES (FOODS),"44,945.00",2020-03-17,2020-03-24,gppbgovph.com/data/files/pr/159097684718333836025ed4614f87f3d_104.pdf,2020-03-17,gppbgovph.com/data/files/pr/159097684711293413755ed4614fae5a7_104.pdf,692.15,LGU PEREZ QUEZON
